x,y,z,yaw,index
-2.077, -0.329, -0.292, 1.101, 0
-1.949, -0.311, 0.247, 0.616, 1
-1.99, 0.29, -0.039, 1.255, 2
-2.072, -0.335, -0.294, 1.103, 0
-1.968, -0.32, 0.248, 0.759, 1
-1.972, 0.281, -0.04, 1.505, 2
-2.07, -0.339, -0.292, 1.102, 0
-1.964, -0.323, 0.251, 0.514, 1
-1.988, 0.28, -0.038, 1.516, 2
-2.07, -0.342, -0.287, 1.126, 0
-1.955, -0.322, 0.256, 0.544, 1
-1.968, 0.275, -0.033, 1.507, 2
-2.065, -0.341, -0.278, 1.113, 0
-1.958, -0.322, 0.264, 0.733, 1
-1.962, 0.275, -0.026, 1.477, 2
-2.06, -0.337, -0.269, 1.174, 0
-1.964, -0.32, 0.273, 0.703, 1
-1.965, 0.278, -0.019, 1.433, 2
-2.104, -0.341, -0.269, 1.129, 0
-1.96, -0.315, 0.274, 0.419, 1
-1.968, 0.282, -0.016, 1.459, 2
-2.088, -0.336, -0.272, 1.232, 0
-1.963, -0.314, 0.267, 0.649, 1
-1.97, 0.284, -0.022, 1.571, 2
-2.077, -0.335, -0.284, 1.211, 0
-1.978, -0.318, 0.257, 1.038, 1
-1.965, 0.283, -0.034, 1.375, 2
-2.075, -0.339, -0.296, 1.12, 0
-1.957, -0.319, 0.244, 0.864, 1
-1.971, 0.28, -0.044, 1.301, 2
-2.07, -0.342, -0.3, 1.132, 0
-1.953, -0.322, 0.241, 0.559, 1
-1.967, 0.275, -0.048, 1.436, 2
-2.08, -0.346, -0.3, 1.115, 0
-1.955, -0.324, 0.244, 0.541, 1
-1.976, 0.275, -0.045, 1.549, 2
-2.073, -0.343, -0.296, 1.104, 0
-1.967, -0.323, 0.249, 0.461, 1
-1.977, 0.277, -0.042, 1.564, 2
-2.067, -0.339, -0.293, 1.175, 0
-1.958, -0.319, 0.248, 0.622, 1
-1.971, 0.279, -0.04, 1.539, 2
-2.07, -0.339, -0.294, 1.102, 0
-1.968, -0.321, 0.248, 0.54, 1
-1.969, 0.279, -0.042, 1.519, 2
-2.073, -0.342, -0.3, 1.182, 0
-1.969, -0.325, 0.241, 1.069, 1
-1.962, 0.275, -0.047, 1.287, 2
-2.075, -0.347, -0.31, 1.182, 0
-1.956, -0.328, 0.231, 0.866, 1
-1.961, 0.271, -0.055, 1.281, 2
-2.056, -0.349, -0.315, 1.141, 0
-1.947, -0.334, 0.224, 0.706, 1
-1.972, 0.266, -0.06, 1.544, 2
-2.065, -0.357, -0.319, 1.195, 0
-1.955, -0.342, 0.224, 0.547, 1
-1.967, 0.258, -0.061, 1.526, 2
-2.057, -0.359, -0.319, 1.132, 0
-1.941, -0.342, 0.222, 0.644, 1
-1.974, 0.257, -0.06, 1.475, 2
-2.078, -0.362, -0.322, 1.144, 0
-1.96, -0.344, 0.223, 0.582, 1
-1.973, 0.258, -0.06, 1.568, 2
-2.06, -0.357, -0.322, 1.197, 0
-1.95, -0.34, 0.219, 0.553, 1
-1.977, 0.261, -0.063, 1.557, 2
-2.066, -0.355, -0.327, 1.253, 0
-1.958, -0.338, 0.216, 0.438, 1
-1.966, 0.263, -0.067, 1.481, 2
-2.069, -0.352, -0.333, 1.125, 0
-1.954, -0.336, 0.21, 0.538, 1
-1.963, 0.265, -0.071, 1.557, 2
-2.07, -0.353, -0.338, 1.12, 0
-1.964, -0.338, 0.208, 0.463, 1
-1.963, 0.264, -0.075, 1.461, 2
-2.063, -0.353, -0.34, 1.178, 0
-1.948, -0.335, 0.204, 0.597, 1
-1.962, 0.264, -0.077, 1.51, 2
-2.065, -0.352, -0.34, 1.095, 0
-1.945, -0.334, 0.205, 0.511, 1
-1.965, 0.265, -0.078, 1.55, 2
-2.064, -0.355, -0.336, 1.198, 0
-1.954, -0.339, 0.212, 0.479, 1
-1.967, 0.263, -0.073, 1.54, 2
-2.075, -0.364, -0.327, 1.12, 0
-1.948, -0.346, 0.222, 0.51, 1
-1.96, 0.255, -0.064, 1.278, 2
-2.067, -0.374, -0.315, 1.154, 0
-1.932, -0.352, 0.232, 0.319, 1
-1.962, 0.246, -0.055, 1.499, 2
-2.066, -0.382, -0.305, 1.17, 0
-1.926, -0.357, 0.24, 0.505, 1
-1.962, 0.239, -0.047, 1.39, 2
-2.045, -0.384, -0.294, 1.162, 0
-1.924, -0.358, 0.247, 0.513, 1
-1.972, 0.237, -0.042, 1.542, 2
-2.05, -0.386, -0.29, 1.119, 0
-1.937, -0.362, 0.254, -0.393, 1
-1.966, 0.235, -0.038, 1.461, 2
-2.045, -0.388, -0.286, 1.137, 0
-1.927, -0.362, 0.254, 0.495, 1
-1.959, 0.233, -0.037, 1.516, 2
-2.041, -0.391, -0.288, 1.106, 0
-1.929, -0.366, 0.252, -0.524, 1
-1.95, 0.228, -0.039, 1.568, 2
-2.057, -0.397, -0.295, 1.14, 0
-1.94, -0.371, 0.248, -0.442, 1
-1.963, 0.228, -0.042, 1.418, 2
-2.052, -0.399, -0.302, 1.13, 0
-1.933, -0.375, 0.241, 0.79, 1
-1.965, 0.224, -0.048, 1.485, 2
-2.029, -0.405, -0.304, 1.138, 0
-1.917, -0.382, 0.236, 0.464, 1
-1.979, 0.216, -0.053, 1.389, 2
-2.037, -0.419, -0.307, 1.101, 0
-1.917, -0.394, 0.236, 0.445, 1
-1.973, 0.204, -0.053, 1.548, 2
-2.034, -0.429, -0.305, 1.094, 0
-1.903, -0.401, 0.238, 0.282, 1
-1.96, 0.193, -0.05, 1.265, 2
-2.034, -0.44, -0.299, 1.13, 0
-1.915, -0.413, 0.246, -0.264, 1
-1.95, 0.183, -0.044, 1.399, 2
-2.029, -0.447, -0.293, 1.19, 0
-1.897, -0.417, 0.248, 0.37, 1
-1.958, 0.176, -0.039, 1.234, 2
-2.029, -0.455, -0.291, 1.12, 0
-1.906, -0.423, 0.253, -0.373, 1
-1.96, 0.17, -0.038, 1.44, 2
-2.022, -0.455, -0.29, 1.209, 0
-1.915, -0.424, 0.253, -0.2, 1
-1.952, 0.169, -0.039, 1.489, 2
-2.03, -0.457, -0.292, 1.243, 0
-1.907, -0.422, 0.251, -0.423, 1
-1.955, 0.17, -0.042, 1.502, 2
-2.013, -0.455, -0.292, 1.169, 0
-1.917, -0.425, 0.25, 0.669, 1
-1.947, 0.169, -0.044, 1.49, 2
-2.019, -0.457, -0.298, 1.22, 0
-1.91, -0.423, 0.244, 0.697, 1
-1.944, 0.169, -0.048, 1.428, 2
-2.043, -0.458, -0.309, 1.295, 0
-1.917, -0.419, 0.236, 0.637, 1
-1.954, 0.175, -0.054, 1.311, 2
-2.032, -0.445, -0.318, 1.368, 0
-1.91, -0.41, 0.227, -0.04, 1
-1.951, 0.185, -0.062, 1.264, 2
-2.041, -0.433, -0.328, 1.178, 0
-1.914, -0.398, 0.22, -0.058, 1
-1.949, 0.198, -0.067, 1.179, 2
-2.018, -0.413, -0.329, 1.332, 0
-1.914, -0.387, 0.216, -0.195, 1
-1.952, 0.212, -0.069, 1.126, 2
-2.024, -0.402, -0.333, 1.152, 0
-1.898, -0.374, 0.213, 0.328, 1
-1.936, 0.221, -0.069, 1.289, 2
-2.009, -0.389, -0.33, 1.151, 0
-1.904, -0.367, 0.216, 0.472, 1
-1.937, 0.231, -0.067, 1.317, 2
-2.019, -0.381, -0.329, 1.073, 0
-1.907, -0.358, 0.22, -0.216, 1
-1.957, 0.244, -0.062, 1.287, 2
-2.028, -0.368, -0.327, 1.204, 0
-1.901, -0.346, 0.222, 0.399, 1
-1.948, 0.255, -0.055, -0.467, 2
-2.023, -0.355, -0.323, 1.121, 0
-1.894, -0.335, 0.224, 0.539, 1
-1.93, 0.265, -0.051, 1.384, 2
-1.999, -0.341, -0.316, 1.177, 0
-1.89, -0.327, 0.228, 0.374, 1
-1.933, 0.275, -0.046, 1.318, 2
-2.0, -0.337, -0.311, 1.249, 0
-1.885, -0.324, 0.233, -0.302, 1
-1.925, 0.278, -0.04, 1.417, 2
-1.999, -0.334, -0.305, 1.156, 0
-1.884, -0.322, 0.239, 0.322, 1
-1.935, 0.281, -0.032, -0.535, 2
-2.013, -0.333, -0.304, 1.213, 0
-1.885, -0.319, 0.241, 0.418, 1
-1.928, 0.284, -0.029, -0.546, 2
-2.013, -0.328, -0.308, 1.25, 0
-1.905, -0.317, 0.238, 0.772, 1
-1.927, 0.29, -0.032, -0.547, 2
-2.011, -0.32, -0.315, 1.28, 0
-1.898, -0.31, 0.231, -0.207, 1
-1.924, 0.297, -0.038, 1.31, 2
-1.997, -0.31, -0.321, 1.306, 0
-1.904, -0.305, 0.224, 0.869, 1
-1.926, 0.304, -0.043, -0.542, 2
-1.993, -0.304, -0.329, 1.353, 0
-1.892, -0.3, 0.214, 0.876, 1
-1.905, 0.306, -0.05, 1.296, 2
-1.999, -0.301, -0.337, 1.239, 0
-1.887, -0.294, 0.209, 0.217, 1
-1.918, 0.313, -0.056, -0.519, 2
-1.993, -0.294, -0.34, 1.263, 0
-1.88, -0.286, 0.207, 0.251, 1
-1.92, 0.32, -0.059, -0.501, 2
-1.988, -0.286, -0.336, 1.183, 0
-1.872, -0.278, 0.211, 0.369, 1
-1.915, 0.327, -0.055, -0.438, 2
-1.974, -0.276, -0.326, 1.118, 0
-1.856, -0.267, 0.219, 0.616, 1
-1.909, 0.335, -0.046, -0.435, 2
-1.966, -0.264, -0.313, 1.151, 0
-1.866, -0.258, 0.231, 0.641, 1
-1.918, 0.348, -0.036, -0.355, 2
-1.968, -0.254, -0.3, 1.22, 0
-1.866, -0.249, 0.245, 0.723, 1
-1.906, 0.356, -0.022, -0.285, 2
-1.978, -0.25, -0.289, 1.192, 0
-1.86, -0.243, 0.255, 0.689, 1
-1.907, 0.363, -0.011, -0.335, 2
-1.989, -0.245, -0.284, 1.221, 0
-1.868, -0.237, 0.261, 0.866, 1
-1.885, 0.365, -0.006, -0.317, 2
-2.002, -0.242, -0.283, 1.259, 0
-1.862, -0.23, 0.262, 0.812, 1
-1.896, 0.373, -0.005, -0.293, 2
-1.979, -0.233, -0.281, 1.305, 0
-1.862, -0.222, 0.261, 0.873, 1
-1.888, 0.379, -0.008, -0.368, 2
-1.989, -0.228, -0.284, 1.275, 0
-1.864, -0.215, 0.26, 0.984, 1
-1.887, 0.387, -0.012, -0.363, 2
-1.984, -0.221, -0.286, 1.368, 0
-1.858, -0.205, 0.258, 0.938, 1
-1.878, 0.394, -0.016, -0.397, 2
-1.976, -0.213, -0.287, 1.283, 0
-1.855, -0.198, 0.257, 0.923, 1
-1.882, 0.402, -0.019, -0.278, 2
-1.975, -0.209, -0.286, 1.276, 0
-1.844, -0.191, 0.258, 0.991, 1
-1.878, 0.407, -0.019, -0.344, 2
-1.955, -0.203, -0.277, 1.246, 0
-1.846, -0.186, 0.266, 0.593, 1
-1.868, 0.411, -0.015, -0.371, 2
-1.954, -0.198, -0.268, 1.198, 0
-1.842, -0.178, 0.275, 0.841, 1
-1.874, 0.418, -0.009, -0.158, 2
-1.971, -0.196, -0.262, 1.322, 0
-1.844, -0.172, 0.282, 1.241, 1
-1.88, 0.426, -0.004, -0.129, 2
-1.961, -0.19, -0.255, 1.262, 0
-1.83, -0.162, 0.285, 0.448, 1
-1.87, 0.431, -0.002, -0.215, 2
-1.986, -0.182, -0.257, 1.215, 0
-1.83, -0.149, 0.285, 0.939, 1
-1.853, 0.439, -0.003, -0.254, 2
-1.975, -0.169, -0.26, 1.363, 0
-1.848, -0.139, 0.282, 1.134, 1
-1.841, 0.45, -0.009, -0.346, 2
-1.965, -0.157, -0.271, 1.473, 0
-1.853, -0.129, 0.27, 1.129, 1
-1.847, 0.463, -0.02, -0.352, 2
-1.956, -0.148, -0.284, 1.442, 0
-1.843, -0.12, 0.256, 1.132, 1
-1.835, 0.469, -0.034, -0.433, 2
-1.956, -0.14, -0.296, 1.401, 0
-1.84, -0.112, 0.247, 1.145, 1
-1.845, 0.481, -0.046, -0.314, 2
-1.937, -0.134, -0.299, 1.264, 0
-1.84, -0.107, 0.244, 1.401, 1
-1.832, 0.483, -0.051, -0.238, 2
-1.937, -0.133, -0.298, 1.285, 0
-1.831, -0.106, 0.247, 0.95, 1
-1.84, 0.487, -0.049, -0.254, 2
-1.93, -0.136, -0.289, 1.307, 0
-1.826, -0.11, 0.256, 1.286, 1
-1.837, 0.482, -0.041, -0.178, 2
-1.955, -0.147, -0.28, 1.459, 0
-1.817, -0.118, 0.269, 1.154, 1
-1.838, 0.473, -0.03, -0.192, 2
-1.931, -0.156, -0.263, 1.368, 0
