x,y,z,yaw,index
-2.892, -0.475, 0.529, 0.087, 2
-2.96, -0.057, -0.113, 0.969, 3
-2.943, 0.67, -0.158, -0.266, 4
-2.86, 0.734, 0.389, 0.769, 5
-2.861, 1.307, 0.054, 0.078, 6
-3.064, -1.509, 0.696, 0.0, 0
-3.044, -1.023, 0.063, 0.356, 1
-2.949, -0.486, 0.539, 0.811, 2
-2.981, -0.06, -0.114, 1.265, 3
-2.923, 0.663, -0.157, -0.333, 4
-2.831, 0.723, 0.385, 0.563, 5
-2.878, 1.311, 0.053, 0.105, 6
-3.049, -1.029, 0.063, 0.336, 1
-2.927, -0.486, 0.535, 0.848, 2
-2.979, -0.063, -0.114, 1.046, 3
-2.936, 0.662, -0.157, -0.188, 4
-2.844, 0.723, 0.387, 0.656, 5
-2.849, 1.295, 0.054, 0.055, 6
-3.04, -1.027, 0.062, 0.311, 1
-2.948, -0.49, 0.537, 0.938, 2
-2.965, -0.064, -0.114, 0.983, 3
-2.92, 0.658, -0.157, -0.26, 4
-2.839, 0.721, 0.386, 0.657, 5
-2.873, 1.304, 0.054, 0.108, 6
-2.938, -0.488, 0.532, 0.842, 2
-2.951, -0.063, -0.117, 1.375, 3
-2.923, 0.659, -0.161, -0.354, 4
-2.843, 0.723, 0.383, 0.807, 5
-2.864, 1.301, 0.051, 0.059, 6
-3.037, -1.497, 0.681, -0.079, 0
-3.03, -1.02, 0.055, 0.273, 1
-2.942, -0.488, 0.531, -0.19, 2
-2.981, -0.062, -0.121, 0.151, 3
-2.951, 0.667, -0.164, -0.239, 4
-2.849, 0.725, 0.381, 0.566, 5
-2.86, 1.301, 0.048, 0.069, 6
-3.03, -1.493, 0.677, -0.041, 0
-3.06, -1.029, 0.054, 0.309, 1
-2.89, -0.479, 0.519, 0.253, 2
-2.966, -0.062, -0.122, 0.708, 3
-2.906, 0.657, -0.163, -0.311, 4
-2.859, 0.729, 0.381, 0.627, 5
-2.854, 1.298, 0.046, 0.077, 6
-3.052, -1.504, 0.681, -0.064, 0
-3.057, -1.029, 0.051, 0.344, 1
-2.919, -0.484, 0.523, 0.034, 2
-2.981, -0.062, -0.124, 1.07, 3
-2.913, 0.659, -0.166, -0.329, 4
-2.827, 0.721, 0.376, 0.655, 5
-2.845, 1.294, 0.044, 0.061, 6
-3.051, -1.505, 0.681, -0.011, 0
-3.047, -1.028, 0.052, 0.321, 1
-2.92, -0.485, 0.524, 0.041, 2
-2.966, -0.063, -0.124, 1.035, 3
-2.911, 0.657, -0.166, -0.312, 4
-2.815, 0.717, 0.374, 0.808, 5
-2.859, 1.3, 0.045, 0.058, 6
-2.89, -0.479, 0.519, 0.263, 2
-2.957, -0.062, -0.122, 1.227, 3
-2.901, 0.655, -0.164, -0.364, 4
-2.847, 0.725, 0.379, 0.62, 5
-2.861, 1.301, 0.046, 0.064, 6
-3.052, -1.503, 0.681, -0.045, 0
-3.017, -1.014, 0.052, 0.314, 1
-2.937, -0.485, 0.528, 0.86, 2
-2.97, -0.06, -0.122, 1.549, 3
-2.937, 0.665, -0.165, -0.254, 4
-2.847, 0.726, 0.381, 0.537, 5
-2.855, 1.299, 0.047, 0.083, 6
-3.072, -1.51, 0.689, -0.062, 0
-3.047, -1.023, 0.056, 0.38, 1
-2.941, -0.484, 0.531, 0.911, 2
-2.969, -0.059, -0.12, 1.115, 3
-2.909, 0.661, -0.161, -0.305, 4
-2.855, 0.731, 0.384, 0.404, 5
-2.88, 1.313, 0.05, 0.119, 6
-2.914, -0.476, 0.529, 0.83, 2
-2.963, -0.056, -0.117, 0.816, 3
-2.921, 0.666, -0.161, -0.308, 4
-2.839, 0.73, 0.384, 0.577, 5
-2.866, 1.31, 0.051, 0.089, 6
-3.099, -1.516, 0.699, 0.025, 0
-3.042, -1.014, 0.06, 0.385, 1
-2.956, -0.48, 0.538, 0.837, 2
-2.968, -0.053, -0.116, 1.144, 3
-2.912, 0.668, -0.158, -0.357, 4
-2.835, 0.732, 0.385, 0.537, 5
-2.868, 1.315, 0.053, 0.109, 6
-3.094, -1.51, 0.695, 0.071, 0
-3.083, -1.023, 0.059, 0.446, 1
-2.919, -0.47, 0.529, -0.254, 2
-2.96, -0.048, -0.117, 1.404, 3
-2.92, 0.674, -0.159, -0.305, 4
-2.848, 0.739, 0.386, 0.669, 5
-2.873, 1.322, 0.052, 0.092, 6
-3.05, -1.485, 0.683, 0.022, 0
-3.041, -1.007, 0.056, 0.293, 1
-2.93, -0.47, 0.529, 0.85, 2
-2.967, -0.046, -0.119, -0.114, 3
-2.906, 0.673, -0.16, -0.336, 4
-2.839, 0.74, 0.382, 0.758, 5
-2.827, 1.304, 0.049, 0.049, 6
-3.075, -1.497, 0.685, 0.02, 0
-3.068, -1.016, 0.053, 0.346, 1
-2.907, -0.466, 0.522, 0.225, 2
-2.988, -0.045, -0.123, 0.897, 3
-2.946, 0.683, -0.165, -0.251, 4
-2.849, 0.742, 0.381, 0.556, 5
-2.874, 1.326, 0.047, 0.103, 6
-3.038, -1.481, 0.673, 0.018, 0
-3.047, -1.009, 0.049, 0.47, 1
-2.947, -0.473, 0.526, 0.891, 2
-2.965, -0.046, -0.125, 0.024, 3
-2.915, 0.677, -0.167, -0.293, 4
-2.83, 0.736, 0.376, 0.62, 5
-2.855, 1.318, 0.046, 0.067, 6
-3.058, -1.492, 0.677, -0.068, 0
-3.061, -1.015, 0.048, 0.358, 1
-2.955, -0.475, 0.527, 0.851, 2
-2.98, -0.047, -0.126, 0.293, 3
-2.959, 0.685, -0.17, -0.189, 4
-2.855, 0.742, 0.378, 0.666, 5
-2.84, 1.31, 0.044, 0.06, 6
-3.047, -1.486, 0.675, -0.068, 0
-3.055, -1.013, 0.048, 0.32, 1
-2.952, -0.474, 0.526, 0.88, 2
-2.987, -0.047, -0.127, 0.691, 3
-2.947, 0.682, -0.17, -0.221, 4
-2.858, 0.743, 0.379, 0.546, 5
-2.852, 1.314, 0.044, 0.067, 6
-3.066, -1.491, 0.682, -0.115, 0
-3.014, -0.997, 0.049, 0.347, 1
-2.937, -0.47, 0.526, -0.028, 2
-2.959, -0.045, -0.125, 0.5, 3
-2.916, 0.677, -0.167, -0.284, 4
-2.865, 0.748, 0.382, 0.671, 5
-2.856, 1.318, 0.045, 0.079, 6
-3.052, -1.481, 0.684, -0.046, 0
-3.029, -0.999, 0.054, 0.346, 1
-2.922, -0.464, 0.527, 0.001, 2
-2.963, -0.042, -0.121, 1.018, 3
-2.92, 0.681, -0.164, -0.289, 4
-2.828, 0.741, 0.379, 0.535, 5
-2.889, 1.337, 0.048, 0.092, 6
-3.067, -1.483, 0.692, -0.051, 0
-3.062, -1.005, 0.06, 0.372, 1
-2.93, -0.461, 0.532, 0.856, 2
-2.969, -0.039, -0.118, 1.334, 3
-2.91, 0.682, -0.161, -0.311, 4
-2.845, 0.749, 0.385, 0.714, 5
-2.839, 1.318, 0.049, 0.044, 6
-3.057, -1.476, 0.692, -0.004, 0
-3.046, -0.997, 0.062, 0.36, 1
-2.93, -0.458, 0.534, -0.099, 2
-2.975, -0.036, -0.116, 0.726, 3
-2.907, 0.684, -0.159, -0.314, 4
-2.828, 0.748, 0.383, 0.592, 5
-2.869, 1.335, 0.051, 0.111, 6
-2.922, -0.456, 0.536, 0.823, 2
-2.98, -0.035, -0.114, 0.49, 3
-2.925, 0.689, -0.158, -0.295, 4
-2.823, 0.748, 0.385, 0.594, 5
-2.854, 1.33, 0.052, 0.083, 6
-2.93, -0.458, 0.538, 0.833, 2
-2.958, -0.035, -0.112, 0.868, 3
-2.943, 0.693, -0.158, -0.245, 4
-2.859, 0.757, 0.391, 0.852, 5
-2.862, 1.332, 0.053, 0.102, 6
-3.1, -1.498, 0.704, -0.056, 0
-3.091, -1.013, 0.066, 0.388, 1
-2.947, -0.463, 0.541, 0.86, 2
-2.961, -0.037, -0.112, 1.342, 3
-2.917, 0.685, -0.157, -0.271, 4
-2.86, 0.755, 0.391, 0.252, 5
-2.863, 1.331, 0.054, 0.087, 6
-3.072, -1.487, 0.697, -0.034, 0
-3.08, -1.011, 0.065, 0.348, 1
-2.91, -0.459, 0.533, 0.817, 2
-2.965, -0.038, -0.112, 1.298, 3
-2.911, 0.682, -0.156, -0.281, 4
-2.852, 0.75, 0.39, 0.242, 5
-2.846, 1.321, 0.054, 0.067, 6
-3.095, -1.499, 0.701, 0.0, 0
-3.073, -1.011, 0.063, 0.316, 1
-2.955, -0.466, 0.539, 0.911, 2
-2.977, -0.04, -0.114, 0.829, 3
-2.944, 0.689, -0.159, -0.234, 4
-2.856, 0.752, 0.388, 0.64, 5
-2.859, 1.326, 0.053, 0.091, 6
-3.09, -1.496, 0.698, 0.055, 0
-3.053, -1.004, 0.061, 0.353, 1
-2.909, -0.46, 0.53, -0.094, 2
-2.989, -0.039, -0.116, 0.667, 3
