x,y,z,yaw,index
-2.457, -0.379, -0.461, 1.234, 0
-2.341, -0.399, 0.48, 0.893, 1
-2.299, 0.095, 0.015, 1.056, 2
-2.505, 0.627, -0.449, -0.664, 3
-2.408, 0.648, 0.488, 0.662, 4
-2.48, -0.379, -0.464, 1.293, 0
-2.347, -0.4, 0.484, 0.924, 1
-2.311, 0.097, 0.018, 1.279, 2
-2.487, 0.626, -0.442, -0.661, 3
-2.431, 0.655, 0.498, 0.684, 4
-2.483, -0.38, -0.46, 1.379, 0
-2.347, -0.402, 0.488, 0.891, 1
-2.303, 0.095, 0.023, -0.514, 2
-2.511, 0.632, -0.44, -0.662, 3
-2.41, 0.647, 0.499, 0.667, 4
-2.448, -0.376, -0.448, 1.332, 0
-2.338, -0.404, 0.492, 0.942, 1
-2.312, 0.094, 0.029, 1.066, 2
-2.476, 0.621, -0.426, -0.649, 3
-2.397, 0.64, 0.504, 0.684, 4
-2.471, -0.38, -0.447, 1.36, 0
-2.336, -0.406, 0.496, 0.93, 1
-2.299, 0.091, 0.034, 1.307, 2
-2.489, 0.623, -0.423, -0.648, 3
-2.402, 0.639, 0.511, 0.688, 4
-2.462, -0.381, -0.439, 1.434, 0
-2.352, -0.414, 0.507, 0.927, 1
-2.306, 0.088, 0.041, 1.066, 2
-2.484, 0.618, -0.414, -0.642, 3
-2.424, 0.64, 0.523, 0.719, 4
-2.48, -0.389, -0.436, 1.286, 0
-2.352, -0.419, 0.512, 0.907, 1
-2.301, 0.082, 0.046, 1.209, 2
-2.498, 0.616, -0.41, -0.639, 3
-2.397, 0.627, 0.523, 0.704, 4
-2.457, -0.39, -0.43, 1.393, 0
-2.352, -0.423, 0.512, 0.919, 1
-2.304, 0.079, 0.048, 1.08, 2
-2.496, 0.61, -0.406, -0.626, 3
-2.394, 0.622, 0.523, 0.716, 4
-2.478, -0.396, -0.433, 1.412, 0
-2.336, -0.423, 0.509, 0.899, 1
-2.306, 0.076, 0.049, 1.217, 2
-2.499, 0.609, -0.405, -0.614, 3
-2.399, 0.621, 0.526, 0.714, 4
-2.451, -0.394, -0.428, 1.489, 0
-2.349, -0.428, 0.512, 0.906, 1
-2.307, 0.074, 0.05, 1.297, 2
-2.485, 0.603, -0.401, -0.69, 3
-2.398, 0.618, 0.526, 0.74, 4
-2.453, -0.395, -0.433, 1.426, 0
-2.351, -0.429, 0.505, 0.827, 1
-2.326, 0.073, 0.045, 1.393, 2
-2.517, 0.609, -0.41, -0.647, 3
-2.402, 0.617, 0.521, 0.701, 4
-2.442, -0.393, -0.44, 1.423, 0
-2.359, -0.433, 0.499, 0.893, 1
-2.312, 0.072, 0.037, 1.498, 2
-2.513, 0.609, -0.416, -0.67, 3
-2.418, 0.618, 0.518, 0.722, 4
-2.464, -0.399, -0.449, 1.3, 0
-2.342, -0.434, 0.49, 0.916, 1
-2.325, 0.069, 0.033, 1.367, 2
-2.516, 0.608, -0.421, -0.661, 3
-2.406, 0.611, 0.511, 0.708, 4
-2.442, -0.398, -0.451, 1.415, 0
-2.342, -0.436, 0.486, 0.899, 1
-2.306, 0.066, 0.029, 1.513, 2
-2.5, 0.601, -0.423, -0.659, 3
-2.402, 0.607, 0.506, 0.691, 4
-2.487, -0.408, -0.462, 1.383, 0
-2.354, -0.441, 0.487, 0.858, 1
-2.313, 0.063, 0.026, 1.329, 2
-2.506, 0.6, -0.428, -0.68, 3
-2.423, 0.609, 0.508, 0.721, 4
-2.464, -0.409, -0.459, 1.313, 0
-2.35, -0.442, 0.485, 0.81, 1
-2.309, 0.06, 0.025, -0.554, 2
-2.491, 0.591, -0.427, -0.675, 3
-2.431, 0.609, 0.506, 0.698, 4
-2.475, -0.412, -0.465, 1.379, 0
-2.336, -0.438, 0.476, 0.837, 1
-2.297, 0.06, 0.02, 1.134, 2
-2.495, 0.592, -0.433, -0.686, 3
-2.431, 0.61, 0.501, 0.695, 4
-2.466, -0.408, -0.469, 1.462, 0
-2.348, -0.439, 0.472, 0.828, 1
-2.311, 0.063, 0.015, 1.138, 2
-2.496, 0.596, -0.438, -0.65, 3
-2.428, 0.61, 0.496, 0.695, 4
-2.469, -0.405, -0.475, 1.355, 0
-2.361, -0.442, 0.471, 0.883, 1
-2.299, 0.063, 0.012, 1.226, 2
-2.479, 0.594, -0.437, -0.694, 3
-2.431, 0.61, 0.496, 0.715, 4
-2.454, -0.401, -0.476, 1.494, 0
-2.351, -0.442, 0.463, 0.789, 1
-2.318, 0.065, 0.009, 1.126, 2
-2.507, 0.603, -0.442, -0.676, 3
-2.433, 0.609, 0.496, 0.696, 4
-2.485, -0.403, -0.487, 1.349, 0
-2.354, -0.442, 0.46, 0.824, 1
-2.305, 0.065, 0.007, -0.568, 2
-2.509, 0.608, -0.445, -0.651, 3
-2.414, 0.604, 0.49, 0.699, 4
-2.442, -0.394, -0.48, 1.374, 0
-2.353, -0.442, 0.46, 0.829, 1
-2.303, 0.065, 0.007, -0.445, 2
-2.499, 0.606, -0.443, -0.657, 3
-2.408, 0.603, 0.49, 0.702, 4
-2.438, -0.393, -0.479, 1.352, 0
-2.349, -0.439, 0.46, 0.847, 1
-2.304, 0.067, 0.007, 1.027, 2
-2.495, 0.606, -0.442, -0.667, 3
-2.395, 0.601, 0.487, 0.685, 4
-2.461, -0.396, -0.483, 1.215, 0
-2.335, -0.436, 0.457, 0.813, 1
-2.308, 0.068, 0.007, -0.624, 2
-2.476, 0.601, -0.439, -0.667, 3
-2.4, 0.603, 0.487, 0.666, 4
-2.46, -0.395, -0.484, 1.374, 0
-2.35, -0.438, 0.457, 0.833, 1
-2.312, 0.069, 0.004, 1.198, 2
-2.469, 0.602, -0.44, -0.682, 3
-2.434, 0.614, 0.491, 0.693, 4
-2.456, -0.394, -0.488, 1.328, 0
-2.335, -0.436, 0.449, 0.831, 1
-2.305, 0.068, -0.0, 0.921, 2
-2.496, 0.608, -0.449, -0.672, 3
-2.418, 0.607, 0.484, 0.686, 4
-2.462, -0.396, -0.494, 1.456, 0
-2.345, -0.44, 0.447, 0.852, 1
-2.306, 0.067, -0.003, 1.258, 2
-2.498, 0.607, -0.452, -0.679, 3
-2.411, 0.603, 0.481, 0.693, 4
-2.47, -0.397, -0.5, 1.334, 0
-2.358, -0.444, 0.446, 0.795, 1
-2.309, 0.066, -0.006, 0.948, 2
-2.487, 0.605, -0.451, -0.68, 3
-2.403, 0.599, 0.478, 0.686, 4
-2.474, -0.398, -0.502, 1.394, 0
-2.361, -0.444, 0.448, 0.813, 1
-2.307, 0.066, -0.006, 0.993, 2
-2.506, 0.61, -0.456, -0.672, 3
-2.409, 0.601, 0.479, 0.686, 4
-2.447, -0.395, -0.489, 1.362, 0
-2.332, -0.437, 0.453, 0.816, 1
-2.3, 0.066, 0.001, 1.182, 2
-2.506, 0.608, -0.452, -0.679, 3
-2.417, 0.606, 0.487, 0.699, 4
-2.452, -0.4, -0.477, 1.475, 0
-2.337, -0.44, 0.467, 0.834, 1
-2.302, 0.063, 0.011, -0.533, 2
-2.504, 0.603, -0.443, -0.679, 3
-2.421, 0.605, 0.495, 0.707, 4
-2.477, -0.412, -0.473, 1.374, 0
-2.347, -0.445, 0.476, 0.807, 1
-2.291, 0.058, 0.016, 1.14, 2
-2.477, 0.589, -0.433, -0.68, 3
-2.416, 0.602, 0.497, 0.699, 4
-2.474, -0.416, -0.467, 1.243, 0
-2.354, -0.45, 0.482, 0.833, 1
-2.303, 0.055, 0.02, 1.155, 2
-2.49, 0.587, -0.432, -0.674, 3
-2.418, 0.599, 0.501, 0.724, 4
-2.465, -0.418, -0.465, 1.265, 0
-2.348, -0.454, 0.48, 0.826, 1
-2.311, 0.051, 0.021, 1.543, 2
-2.513, 0.589, -0.433, -0.682, 3
-2.415, 0.593, 0.502, 0.723, 4
-2.483, -0.425, -0.47, 1.366, 0
-2.331, -0.458, 0.475, 0.848, 1
-2.311, 0.046, 0.021, 1.382, 2
-2.498, 0.581, -0.43, -0.67, 3
-2.406, 0.583, 0.501, 0.717, 4
-2.456, -0.425, -0.463, 1.324, 0
-2.334, -0.461, 0.48, 0.843, 1
-2.314, 0.042, 0.023, -0.29, 2
-2.492, 0.575, -0.428, -0.658, 3
-2.413, 0.583, 0.505, 0.709, 4
-2.447, -0.428, -0.456, 1.261, 0
-2.332, -0.463, 0.485, 0.844, 1
-2.304, 0.038, 0.028, -0.661, 2
-2.524, 0.577, -0.43, -0.674, 3
-2.408, 0.579, 0.506, 0.72, 4
-2.472, -0.439, -0.455, 1.538, 0
-2.349, -0.471, 0.496, 0.811, 1
-2.29, 0.034, 0.032, 1.327, 2
-2.537, 0.574, -0.428, -0.672, 3
-2.409, 0.576, 0.512, 0.76, 4
-2.473, -0.442, -0.449, 1.336, 0
-2.338, -0.468, 0.497, 0.817, 1
-2.311, 0.033, 0.037, 1.177, 2
-2.509, 0.564, -0.418, -0.667, 3
-2.416, 0.577, 0.516, 0.735, 4
-2.456, -0.439, -0.445, 1.356, 0
-2.34, -0.47, 0.497, 0.824, 1
-2.304, 0.032, 0.036, 0.989, 2
-2.512, 0.565, -0.419, -0.684, 3
-2.417, 0.577, 0.516, 0.738, 4
-2.438, -0.438, -0.443, 1.329, 0
-2.329, -0.473, 0.493, 0.834, 1
-2.315, 0.028, 0.036, -0.171, 2
-2.503, 0.561, -0.417, -0.69, 3
-2.415, 0.57, 0.515, 0.739, 4
-2.448, -0.446, -0.448, 1.308, 0
-2.349, -0.484, 0.496, 0.824, 1
-2.318, 0.023, 0.035, 1.297, 2
-2.49, 0.552, -0.415, -0.694, 3
-2.423, 0.565, 0.516, 0.75, 4
-2.465, -0.453, -0.453, 1.355, 0
-2.353, -0.489, 0.493, 0.837, 1
-2.299, 0.018, 0.032, 1.28, 2
-2.497, 0.549, -0.418, -0.691, 3
-2.404, 0.556, 0.509, 0.744, 4
-2.439, -0.453, -0.453, 1.32, 0
-2.356, -0.494, 0.488, 0.801, 1
-2.312, 0.014, 0.027, 1.521, 2
-2.495, 0.545, -0.423, -0.721, 3
-2.436, 0.56, 0.509, 0.772, 4
-2.468, -0.465, -0.464, 1.31, 0
-2.346, -0.498, 0.483, 0.809, 1
-2.304, 0.007, 0.023, -0.043, 2
-2.529, 0.545, -0.434, -0.712, 3
-2.401, 0.543, 0.498, 0.702, 4
-2.442, -0.47, -0.462, 1.195, 0
-2.351, -0.511, 0.483, 0.888, 1
-2.313, -0.002, 0.021, 0.846, 2
-2.524, 0.534, -0.435, -0.685, 3
-2.408, 0.533, 0.499, 0.731, 4
-2.453, -0.485, -0.464, 1.218, 0
-2.345, -0.525, 0.484, 0.608, 1
-2.301, -0.016, 0.023, -0.107, 2
-2.522, 0.52, -0.432, -0.71, 3
-2.414, 0.519, 0.503, 0.75, 4
-2.455, -0.498, -0.462, 1.301, 0
-2.32, -0.532, 0.48, 0.434, 1
-2.298, -0.028, 0.026, -0.567, 2
-2.502, 0.502, -0.424, -0.718, 3
-2.417, 0.506, 0.506, 0.769, 4
-2.46, -0.51, -0.464, 1.241, 0
-2.335, -0.546, 0.482, 0.622, 1
-2.318, -0.038, 0.025, -0.673, 2
-2.531, 0.497, -0.429, -0.732, 3
-2.414, 0.496, 0.504, 0.765, 4
-2.456, -0.518, -0.466, 1.044, 0
-2.331, -0.554, 0.481, 0.544, 1
-2.308, -0.047, 0.024, -0.171, 2
-2.501, 0.483, -0.425, -0.725, 3
-2.408, 0.485, 0.502, 0.776, 4
-2.451, -0.527, -0.462, 1.275, 0
-2.325, -0.562, 0.484, 0.353, 1
-2.317, -0.057, 0.026, -0.633, 2
-2.524, 0.476, -0.427, -0.73, 3
-2.428, 0.479, 0.509, 0.794, 4
-2.46, -0.538, -0.46, 1.328, 0
-2.326, -0.568, 0.486, 0.486, 1
-2.307, -0.063, 0.029, 0.776, 2
-2.519, 0.467, -0.423, -0.747, 3
-2.413, 0.472, 0.506, 0.757, 4
-2.473, -0.545, -0.462, -1.302, 0
-2.338, -0.574, 0.489, 0.463, 1
-2.322, -0.066, 0.029, -0.35, 2
-2.507, 0.46, -0.421, -0.768, 3
-2.415, 0.469, 0.507, 0.814, 4
-2.441, -0.543, -0.456, 1.295, 0
-2.334, -0.579, 0.489, 0.42, 1
-2.307, -0.071, 0.029, 1.041, 2
-2.522, 0.458, -0.424, -0.755, 3
-2.397, 0.459, 0.503, 0.786, 4
-2.445, -0.551, -0.457, 1.252, 0
-2.326, -0.584, 0.487, 0.619, 1
-2.322, -0.079, 0.029, -0.3, 2
-2.528, 0.451, -0.425, -0.762, 3
-2.428, 0.458, 0.509, 0.85, 4
-2.455, -0.561, -0.46, 1.276, 0
-2.342, -0.597, 0.49, 0.621, 1
-2.307, -0.086, 0.028, 0.273, 2
-2.522, 0.443, -0.424, -0.784, 3
-2.424, 0.448, 0.508, 0.81, 4
-2.431, -0.565, -0.457, 1.265, 0
-2.302, -0.596, 0.48, 0.593, 1
-2.31, -0.095, 0.028, 0.033, 2
-2.522, 0.435, -0.425, 0.933, 3
-2.426, 0.439, 0.508, 0.834, 4
-2.439, -0.574, -0.46, 1.373, 0
-2.311, -0.604, 0.482, 0.541, 1
-2.312, -0.102, 0.027, -0.779, 2
-2.52, 0.427, -0.426, 0.83, 3
-2.431, 0.434, 0.508, 0.861, 4
-2.439, -0.58, -0.461, 1.125, 0
