x,y,z,yaw,index
-3.823, -1.577, 0.009, 0.304, 0
-3.91, -1.025, -0.546, 0.936, 1
-3.68, -0.53, 0.018, 1.293, 2
-3.845, -0.022, -0.56, 1.436, 3
-3.82, 0.704, -0.487, 1.248, 4
-3.704, 0.678, 0.065, -0.085, 5
-3.814, 1.318, -0.178, -0.13, 6
-3.872, -1.597, 0.008, 0.363, 0
-3.91, -1.025, -0.546, 0.936, 1
-3.68, -0.53, 0.018, 1.293, 2
-3.851, -0.022, -0.561, 1.507, 3
-3.822, 0.704, -0.487, 1.324, 4
-3.698, 0.676, 0.065, -0.055, 5
-3.799, 1.313, -0.177, -0.129, 6
-3.832, -1.581, 0.009, 0.33, 0
-3.91, -1.025, -0.546, 0.936, 1
-3.687, -0.531, 0.018, 1.505, 2
-3.851, -0.022, -0.561, 1.507, 3
-3.82, 0.704, -0.487, 1.248, 4
-3.702, 0.677, 0.065, -0.053, 5
-3.799, 1.313, -0.177, -0.129, 6
-3.822, -1.577, 0.009, 0.301, 0
-3.91, -1.025, -0.546, 0.936, 1
-3.687, -0.531, 0.018, 1.505, 2
-3.851, -0.022, -0.561, 1.507, 3
-3.82, 0.704, -0.487, 1.248, 4
-3.715, 0.679, 0.065, 0.034, 5
-3.799, 1.313, -0.177, -0.129, 6
-3.84, -1.583, 0.008, 0.502, 0
-3.91, -1.025, -0.546, 0.936, 1
-3.687, -0.531, 0.018, 1.505, 2
-3.851, -0.022, -0.561, 1.507, 3
-3.825, 0.705, -0.488, 1.335, 4
-3.7, 0.677, 0.064, -0.035, 5
-3.789, 1.309, -0.176, -0.158, 6
-3.858, -1.591, 0.008, 0.372, 0
-3.91, -1.025, -0.546, 0.936, 1
-3.687, -0.531, 0.018, 1.505, 2
-3.864, -0.023, -0.563, 1.499, 3
-3.826, 0.705, -0.488, 1.29, 4
-3.706, 0.678, 0.065, -0.004, 5
-3.804, 1.315, -0.177, -0.159, 6
-3.847, -1.586, 0.008, 0.438, 0
-3.91, -1.025, -0.546, 0.936, 1
-3.698, -0.533, 0.018, 1.504, 2
-3.869, -0.023, -0.564, 1.549, 3
-3.826, 0.705, -0.488, 1.29, 4
-3.703, 0.677, 0.065, 0.035, 5
-3.789, 1.309, -0.176, -0.158, 6
-3.822, -1.576, 0.008, 0.402, 0
-3.91, -1.025, -0.546, 0.936, 1
-3.698, -0.533, 0.018, 1.504, 2
-3.864, -0.023, -0.563, 1.499, 3
-3.832, 0.706, -0.488, 1.298, 4
-3.714, 0.679, 0.065, -0.013, 5
-3.814, 1.318, -0.178, -0.13, 6
-3.847, -1.586, 0.008, 0.438, 0
-3.91, -1.025, -0.546, 0.936, 1
-3.698, -0.533, 0.018, 1.504, 2
-3.869, -0.023, -0.564, 1.549, 3
-3.844, 0.708, -0.489, -0.673, 4
-3.714, 0.679, 0.065, -0.013, 5
-3.814, 1.318, -0.178, -0.13, 6
-3.833, -1.581, 0.009, 0.461, 0
-3.91, -1.025, -0.546, 0.936, 1
-3.703, -0.533, 0.018, 1.292, 2
